study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
path_48,ATM,100,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,109.913709
path_48,ITM put,110,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.184701
path_48,ITM put,110,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,1.058263
path_48,ITM put,110,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.175663
path_48,ITM put,110,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,1.954056
path_48,ITM put,110,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.178930
path_48,ITM put,110,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,3.753624
path_48,ITM put,110,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.177009
path_48,ITM put,110,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,5.582901
path_48,ITM put,110,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.195472
